"Input","Match.type","Approved.symbol","Approved.name","HGNC.ID","Location"
"37","ABCA17P","Approved symbol","ABCA17P","ATP binding cassette subfamily A member 17, pseudogene","HGNC:32972","16p13.3"
"38","ABCA2","Approved symbol","ABCA2","ATP binding cassette subfamily A member 2","HGNC:32","9q34.3"
"39","ABCA3","Approved symbol","ABCA3","ATP binding cassette subfamily A member 3","HGNC:33","16p13.3"
"40","ABCA4","Approved symbol","ABCA4","ATP binding cassette subfamily A member 4","HGNC:34","1p22.1"
"41","ABCA5","Approved symbol","ABCA5","ATP binding cassette subfamily A member 5","HGNC:35","17q24.3"
"42","ABCA6","Approved symbol","ABCA6","ATP binding cassette subfamily A member 6","HGNC:36","17q24.2-q24.3"
"43","ABCA7","Approved symbol","ABCA7","ATP binding cassette subfamily A member 7","HGNC:37","19p13.3"
"44","ABCA8","Approved symbol","ABCA8","ATP binding cassette subfamily A member 8","HGNC:38","17q24.2"
"45","ABCA9","Approved symbol","ABCA9","ATP binding cassette subfamily A member 9","HGNC:39","17q24.2"
"46","ABCB1","Approved symbol","ABCB1","ATP binding cassette subfamily B member 1","HGNC:40","7q21.12"
"47","ABCB10","Approved symbol","ABCB10","ATP binding cassette subfamily B member 10","HGNC:41","1q42.13"
"48","ABCB11","Approved symbol","ABCB11","ATP binding cassette subfamily B member 11","HGNC:42","2q31.1"
"49","ABCB4","Approved symbol","ABCB4","ATP binding cassette subfamily B member 4","HGNC:45","7q21.12"
"50","ABCB5","Approved symbol","ABCB5","ATP binding cassette subfamily B member 5","HGNC:46","7p21.1"
"51","ABCB6","Approved symbol","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)","HGNC:47","2q35"
"52","ABCB7","Approved symbol","ABCB7","ATP binding cassette subfamily B member 7","HGNC:48","Xq13.3"
"53","ABCB8","Approved symbol","ABCB8","ATP binding cassette subfamily B member 8","HGNC:49","7q36.1"
"54","ABCB9","Approved symbol","ABCB9","ATP binding cassette subfamily B member 9","HGNC:50","12q24.31"
"55","ABCC1","Approved symbol","ABCC1","ATP binding cassette subfamily C member 1","HGNC:51","16p13.11"
"56","ABCC10","Approved symbol","ABCC10","ATP binding cassette subfamily C member 10","HGNC:52","6p21.1"
"57","ABCC11","Approved symbol","ABCC11","ATP binding cassette subfamily C member 11","HGNC:14639","16q12.1"
"58","ABCC12","Approved symbol","ABCC12","ATP binding cassette subfamily C member 12","HGNC:14640","16q12.1"
"59","ABCC13","Approved symbol","ABCC13","ATP binding cassette subfamily C member 13 (pseudogene)","HGNC:16022","21q11.2"
"60","ABCC2","Approved symbol","ABCC2","ATP binding cassette subfamily C member 2","HGNC:53","10q24.2"
"61","ABCC3","Approved symbol","ABCC3","ATP binding cassette subfamily C member 3","HGNC:54","17q21.33"
"62","ABCC4","Approved symbol","ABCC4","ATP binding cassette subfamily C member 4","HGNC:55","13q32.1"
"63","ABCC5","Approved symbol","ABCC5","ATP binding cassette subfamily C member 5","HGNC:56","3q27.1"
"64","ABCC6","Approved symbol","ABCC6","ATP binding cassette subfamily C member 6","HGNC:57","16p13.11"
"65","ABCC8","Approved symbol","ABCC8","ATP binding cassette subfamily C member 8","HGNC:59","11p15.1"
"66","ABCC9","Approved symbol","ABCC9","ATP binding cassette subfamily C member 9","HGNC:60","12p12.1"
"67","ABCD1","Approved symbol","ABCD1","ATP binding cassette subfamily D member 1","HGNC:61","Xq28"
"68","ABCD2","Approved symbol","ABCD2","ATP binding cassette subfamily D member 2","HGNC:66","12q12"
"69","ABCD3","Approved symbol","ABCD3","ATP binding cassette subfamily D member 3","HGNC:67","1p21.3"
"70","ABCD4","Approved symbol","ABCD4","ATP binding cassette subfamily D member 4","HGNC:68","14q24.3"
"71","ABCE1","Approved symbol","ABCE1","ATP binding cassette subfamily E member 1","HGNC:69","4q31.21"
"72","ABCF1","Approved symbol","ABCF1","ATP binding cassette subfamily F member 1","HGNC:70","6p21.33"
"73","ABCF2","Approved symbol","ABCF2","ATP binding cassette subfamily F member 2","HGNC:71","7q36.1"
"74","ABCF3","Approved symbol","ABCF3","ATP binding cassette subfamily F member 3","HGNC:72","3q27.1"
"75","ABCG1","Approved symbol","ABCG1","ATP binding cassette subfamily G member 1","HGNC:73","21q22.3"
"76","ABCG2","Approved symbol","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)","HGNC:74","4q22.1"
"77","ABCG4","Approved symbol","ABCG4","ATP binding cassette subfamily G member 4","HGNC:13884","11q23.3"
"78","ABCG5","Approved symbol","ABCG5","ATP binding cassette subfamily G member 5","HGNC:13886","2p21"
"79","ABCG8","Approved symbol","ABCG8","ATP binding cassette subfamily G member 8","HGNC:13887","2p21"
"80","ABHD1","Approved symbol","ABHD1","abhydrolase domain containing 1","HGNC:17553","2p23.3"
"81","ABHD10","Approved symbol","ABHD10","abhydrolase domain containing 10","HGNC:25656","3q13.2"
"82","ABHD11","Approved symbol","ABHD11","abhydrolase domain containing 11","HGNC:16407","7q11.23"
"83","ABHD12","Approved symbol","ABHD12","abhydrolase domain containing 12","HGNC:15868","20p11.21"
"84","ABHD12B","Approved symbol","ABHD12B","abhydrolase domain containing 12B","HGNC:19837","14q22.1"
"85","ABHD13","Approved symbol","ABHD13","abhydrolase domain containing 13","HGNC:20293","13q33.3"
"86","ABHD14A","Approved symbol","ABHD14A","abhydrolase domain containing 14A","HGNC:24538","3p21.2"
"87","ABHD14B","Approved symbol","ABHD14B","abhydrolase domain containing 14B","HGNC:28235","3p21.2"
"88","ABHD15","Approved symbol","ABHD15","abhydrolase domain containing 15","HGNC:26971","17q11.2"
"89","ABHD16A","Approved symbol","ABHD16A","abhydrolase domain containing 16A","HGNC:13921","6p21.33"
"90","ABHD16B","Approved symbol","ABHD16B","abhydrolase domain containing 16B","HGNC:16128","20q13.33"
"91","ABHD17B","Approved symbol","ABHD17B","abhydrolase domain containing 17B","HGNC:24278","9q21.13"
"92","ABHD17C","Approved symbol","ABHD17C","abhydrolase domain containing 17C","HGNC:26925","15q25.1"
"93","ABHD18","Approved symbol","ABHD18","abhydrolase domain containing 18","HGNC:26111","4q28.2"
"94","ABHD2","Approved symbol","ABHD2","abhydrolase domain containing 2","HGNC:18717","15q26.1"
"95","ABHD3","Approved symbol","ABHD3","abhydrolase domain containing 3","HGNC:18718","18q11.2"
"96","ABHD4","Approved symbol","ABHD4","abhydrolase domain containing 4","HGNC:20154","14q11.2"
"97","ABHD5","Approved symbol","ABHD5","abhydrolase domain containing 5","HGNC:21396","3p21.33"
"98","ABHD6","Approved symbol","ABHD6","abhydrolase domain containing 6","HGNC:21398","3p14.3"
"99","ABHD8","Approved symbol","ABHD8","abhydrolase domain containing 8","HGNC:23759","19p13.11"
"100","ABI1","Approved symbol","ABI1","abl interactor 1","HGNC:11320","10p12.1"
"101","ABI2","Approved symbol","ABI2","abl interactor 2","HGNC:24011","2q33.2"
"102","ABI3","Approved symbol","ABI3","ABI family member 3","HGNC:29859","17q21.32"
"103","ABI3BP","Approved symbol","ABI3BP","ABI family member 3 binding protein","HGNC:17265","3q12.2"
"104","ABL1","Approved symbol","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","HGNC:76","9q34.12"
"105","ABL2","Approved symbol","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","HGNC:77","1q25.2"
"106","ABLIM1","Approved symbol","ABLIM1","actin binding LIM protein 1","HGNC:78","10q25.3"
"107","ABLIM2","Approved symbol","ABLIM2","actin binding LIM protein family member 2","HGNC:19195","4p16.1"
"108","ABLIM3","Approved symbol","ABLIM3","actin binding LIM protein family member 3","HGNC:29132","5q32"
"109","ABO","Approved symbol","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","HGNC:79","9q34.2"
"110","ABR","Approved symbol","ABR","ABR activator of RhoGEF and GTPase","HGNC:81","17p13.3"
"111","ABRA","Approved symbol","ABRA","actin binding Rho activating protein","HGNC:30655","8q23.1"
"112","ABRACL","Approved symbol","ABRACL","ABRA C-terminal like","HGNC:21230","6q24.1"
"113","ABRAXAS1","Approved symbol","ABRAXAS1","abraxas 1, BRCA1 A complex subunit","HGNC:25829","4q21.23"
"114","ABRAXAS2","Approved symbol","ABRAXAS2","abraxas 2, BRISC complex subunit","HGNC:28975","10q26.13"
"115","ABT1","Approved symbol","ABT1","activator of basal transcription 1","HGNC:17369","6p22.2"
"116","ABTB1","Approved symbol","ABTB1","ankyrin repeat and BTB domain containing 1","HGNC:18275","3q21.3"
"117","ABTB2","Approved symbol","ABTB2","ankyrin repeat and BTB domain containing 2","HGNC:23842","11p13"
"118","ACAA1","Approved symbol","ACAA1","acetyl-CoA acyltransferase 1","HGNC:82","3p22.2"
"119","ACAA2","Approved symbol","ACAA2","acetyl-CoA acyltransferase 2","HGNC:83","18q21.1"
"120","ACACA","Approved symbol","ACACA","acetyl-CoA carboxylase alpha","HGNC:84","17q12"
"121","ACACB","Approved symbol","ACACB","acetyl-CoA carboxylase beta","HGNC:85","12q24.11"
"122","ACAD10","Approved symbol","ACAD10","acyl-CoA dehydrogenase family member 10","HGNC:21597","12q24.12"
"123","ACAD8","Approved symbol","ACAD8","acyl-CoA dehydrogenase family member 8","HGNC:87","11q25"
"124","ACAD9","Approved symbol","ACAD9","acyl-CoA dehydrogenase family member 9","HGNC:21497","3q21.3"
"125","ACADL","Approved symbol","ACADL","acyl-CoA dehydrogenase long chain","HGNC:88","2q34"
"126","ACADM","Approved symbol","ACADM","acyl-CoA dehydrogenase medium chain","HGNC:89","1p31.1"
"127","ACADS","Approved symbol","ACADS","acyl-CoA dehydrogenase short chain","HGNC:90","12q24.31"
"128","ACADSB","Approved symbol","ACADSB","acyl-CoA dehydrogenase short/branched chain","HGNC:91","10q26.13"
"129","ACADVL","Approved symbol","ACADVL","acyl-CoA dehydrogenase very long chain","HGNC:92","17p13.1"
"130","ACAN","Approved symbol","ACAN","aggrecan","HGNC:319","15q26.1"
"131","ACAP1","Approved symbol","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","HGNC:16467","17p13.1"
"132","ACAP2","Approved symbol","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","HGNC:16469","3q29"
"133","ACAP3","Approved symbol","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","HGNC:16754","1p36.33"
"134","ACAT1","Approved symbol","ACAT1","acetyl-CoA acetyltransferase 1","HGNC:93","11q22.3"
"137","ACBD3","Approved symbol","ACBD3","acyl-CoA binding domain containing 3","HGNC:15453","1q42.12"
"138","ACBD4","Approved symbol","ACBD4","acyl-CoA binding domain containing 4","HGNC:23337","17q21.31"
"139","ACBD5","Approved symbol","ACBD5","acyl-CoA binding domain containing 5","HGNC:23338","10p12.1"
"140","ACBD6","Approved symbol","ACBD6","acyl-CoA binding domain containing 6","HGNC:23339","1q25.2-q25.3"
"141","ACCS","Approved symbol","ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (inactive)","HGNC:23989","11p11.2"
"142","ACD","Approved symbol","ACD","ACD shelterin complex subunit and telomerase recruitment factor","HGNC:25070","16q22.1"
"143","ACE","Approved symbol","ACE","angiotensin I converting enzyme","HGNC:2707","17q23.3"
"144","ACE2","Approved symbol","ACE2","angiotensin I converting enzyme 2","HGNC:13557","Xp22.2"
"145","ACER1","Approved symbol","ACER1","alkaline ceramidase 1","HGNC:18356","19p13.3"
"146","ACER3","Approved symbol","ACER3","alkaline ceramidase 3","HGNC:16066","11q13.5"
"147","ACHE","Approved symbol","ACHE","acetylcholinesterase (Cartwright blood group)","HGNC:108","7q22.1"
"148","ACIN1","Approved symbol","ACIN1","apoptotic chromatin condensation inducer 1","HGNC:17066","14q11.2"
"149","ACKR1","Approved symbol","ACKR1","atypical chemokine receptor 1 (Duffy blood group)","HGNC:4035","1q23.2"
"150","ACKR2","Approved symbol","ACKR2","atypical chemokine receptor 2","HGNC:1565","3p22.1"
"151","ACKR3","Approved symbol","ACKR3","atypical chemokine receptor 3","HGNC:23692","2q37.3"
"152","ACLY","Approved symbol","ACLY","ATP citrate lyase","HGNC:115","17q21.2"
"153","ACMSD","Approved symbol","ACMSD","aminocarboxymuconate semialdehyde decarboxylase","HGNC:19288","2q21.3"
"154","ACO1","Approved symbol","ACO1","aconitase 1","HGNC:117","9p21.1"
"155","ACO2","Approved symbol","ACO2","aconitase 2","HGNC:118","22q13.2"
"156","ACOD1","Approved symbol","ACOD1","aconitate decarboxylase 1","HGNC:33904","13q22.3"
"157","ACOT11","Approved symbol","ACOT11","acyl-CoA thioesterase 11","HGNC:18156","1p32.3"
"158","ACOT12","Approved symbol","ACOT12","acyl-CoA thioesterase 12","HGNC:24436","5q14.1"
"159","ACOT13","Approved symbol","ACOT13","acyl-CoA thioesterase 13","HGNC:20999","6p22.3"
"160","ACOT4","Approved symbol","ACOT4","acyl-CoA thioesterase 4","HGNC:19748","14q24.3"
"161","ACOT6","Approved symbol","ACOT6","acyl-CoA thioesterase 6","HGNC:33159","14q24.3"
"162","ACOT7","Approved symbol","ACOT7","acyl-CoA thioesterase 7","HGNC:24157","1p36.31"
"163","ACOT8","Approved symbol","ACOT8","acyl-CoA thioesterase 8","HGNC:15919","20q13.12"
"164","ACOT9","Approved symbol","ACOT9","acyl-CoA thioesterase 9","HGNC:17152","Xp22.11"
"165","ACOX1","Approved symbol","ACOX1","acyl-CoA oxidase 1","HGNC:119","17q25.1"
"166","ACOX2","Approved symbol","ACOX2","acyl-CoA oxidase 2","HGNC:120","3p14.3"
"167","ACOX3","Approved symbol","ACOX3","acyl-CoA oxidase 3, pristanoyl","HGNC:121","4p16.1"
"168","ACOXL","Approved symbol","ACOXL","acyl-CoA oxidase like","HGNC:25621","2q13"
"171","ACP2","Approved symbol","ACP2","acid phosphatase 2, lysosomal","HGNC:123","11p11.2"
"172","ACP4","Approved symbol","ACP4","acid phosphatase 4","HGNC:14376","19q13.33"
"173","ACP5","Approved symbol","ACP5","acid phosphatase 5, tartrate resistant","HGNC:124","19p13.2"
"174","ACP6","Approved symbol","ACP6","acid phosphatase 6, lysophosphatidic","HGNC:29609","1q21.2"
"175","ACPP","Previous symbol","ACP3","acid phosphatase 3","HGNC:125","3q22.1"
"176","ACRBP","Approved symbol","ACRBP","acrosin binding protein","HGNC:17195","12p13.31"
"177","ACRV1","Approved symbol","ACRV1","acrosomal vesicle protein 1","HGNC:127","11q24.2"
"178","ACSBG1","Approved symbol","ACSBG1","acyl-CoA synthetase bubblegum family member 1","HGNC:29567","15q25.1"
"179","ACSBG2","Approved symbol","ACSBG2","acyl-CoA synthetase bubblegum family member 2","HGNC:24174","19p13.3"
"180","ACSF2","Approved symbol","ACSF2","acyl-CoA synthetase family member 2","HGNC:26101","17q21.33"
"181","ACSF3","Approved symbol","ACSF3","acyl-CoA synthetase family member 3","HGNC:27288","16q24.3"
"182","ACSL1","Approved symbol","ACSL1","acyl-CoA synthetase long chain family member 1","HGNC:3569","4q35.1"
"183","ACSL3","Approved symbol","ACSL3","acyl-CoA synthetase long chain family member 3","HGNC:3570","2q36.1"
"184","ACSL5","Approved symbol","ACSL5","acyl-CoA synthetase long chain family member 5","HGNC:16526","10q25.2"
"185","ACSL6","Approved symbol","ACSL6","acyl-CoA synthetase long chain family member 6","HGNC:16496","5q31.1"
"186","ACSM1","Approved symbol","ACSM1","acyl-CoA synthetase medium chain family member 1","HGNC:18049","16p12.3"
"187","ACSM3","Approved symbol","ACSM3","acyl-CoA synthetase medium chain family member 3","HGNC:10522","16p12.3"
"188","ACSM5","Approved symbol","ACSM5","acyl-CoA synthetase medium chain family member 5","HGNC:26060","16p12.3"
"189","ACSS1","Approved symbol","ACSS1","acyl-CoA synthetase short chain family member 1","HGNC:16091","20p11.21"
"190","ACSS2","Approved symbol","ACSS2","acyl-CoA synthetase short chain family member 2","HGNC:15814","20q11.22"
"191","ACSS3","Approved symbol","ACSS3","acyl-CoA synthetase short chain family member 3","HGNC:24723","12q21.31"
"192","ACTA1","Approved symbol","ACTA1","actin alpha 1, skeletal muscle","HGNC:129","1q42.13"
"193","ACTA2","Approved symbol","ACTA2","actin alpha 2, smooth muscle","HGNC:130","10q23.31"
"194","ACTB","Approved symbol","ACTB","actin beta","HGNC:132","7p22.1"
"195","ACTC1","Approved symbol","ACTC1","actin alpha cardiac muscle 1","HGNC:143","15q14"
"196","ACTG1","Approved symbol","ACTG1","actin gamma 1","HGNC:144","17q25.3"
"197","ACTG1P17","Approved symbol","ACTG1P17","actin gamma 1 pseudogene 17","HGNC:51497","15q25.2"
"198","ACTG2","Approved symbol","ACTG2","actin gamma 2, smooth muscle","HGNC:145","2p13.1"
"199","ACTL10","Approved symbol","ACTL10","actin like 10","HGNC:16127","20q11.22"
"200","ACTL6A","Approved symbol","ACTL6A","actin like 6A","HGNC:24124","3q26.33"
"201","ACTL6B","Approved symbol","ACTL6B","actin like 6B","HGNC:160","7q22.1"
"202","ACTL7A","Approved symbol","ACTL7A","actin like 7A","HGNC:161","9q31.3"
"203","ACTL7B","Approved symbol","ACTL7B","actin like 7B","HGNC:162","9q31.3"
"204","ACTL8","Approved symbol","ACTL8","actin like 8","HGNC:24018","1p36.13"
"205","ACTL9","Approved symbol","ACTL9","actin like 9","HGNC:28494","19p13.2"
"206","ACTN1","Approved symbol","ACTN1","actinin alpha 1","HGNC:163","14q24.1"
"207","ACTN2","Approved symbol","ACTN2","actinin alpha 2","HGNC:164","1q43"
"208","ACTN3","Approved symbol","ACTN3","actinin alpha 3 (gene/pseudogene)","HGNC:165","11q13.2"
"209","ACTN4","Approved symbol","ACTN4","actinin alpha 4","HGNC:166","19q13.2"
"210","ACTR10","Approved symbol","ACTR10","actin related protein 10","HGNC:17372","14q23.1"
"211","ACTR1A","Approved symbol","ACTR1A","actin related protein 1A","HGNC:167","10q24.32"
"212","ACTR1B","Approved symbol","ACTR1B","actin related protein 1B","HGNC:168","2q11.2"
"213","ACTR2","Approved symbol","ACTR2","actin related protein 2","HGNC:169","2p14"
"214","ACTR3","Approved symbol","ACTR3","actin related protein 3","HGNC:170","2q14.1"
"215","ACTR3B","Approved symbol","ACTR3B","actin related protein 3B","HGNC:17256","7q36.1-q36.2"
"216","ACTR3C","Approved symbol","ACTR3C","actin related protein 3C","HGNC:37282","7q36.1"
"217","ACTR5","Approved symbol","ACTR5","actin related protein 5","HGNC:14671","20q11.23"
"218","ACTR6","Approved symbol","ACTR6","actin related protein 6","HGNC:24025","12q23.1"
"219","ACTR8","Approved symbol","ACTR8","actin related protein 8","HGNC:14672","3p21.1"
"220","ACTRT2","Approved symbol","ACTRT2","actin related protein T2","HGNC:24026","1p36.32"
"221","ACTRT3","Approved symbol","ACTRT3","actin related protein T3","HGNC:24022","3q26.2"
"222","ACVR1","Approved symbol","ACVR1","activin A receptor type 1","HGNC:171","2q24.1"
"223","ACVR1B","Approved symbol","ACVR1B","activin A receptor type 1B","HGNC:172","12q13.13"
"224","ACVR1C","Approved symbol","ACVR1C","activin A receptor type 1C","HGNC:18123","2q24.1"
"225","ACVR2A","Approved symbol","ACVR2A","activin A receptor type 2A","HGNC:173","2q22.3-q23.1"
"226","ACVR2B","Approved symbol","ACVR2B","activin A receptor type 2B","HGNC:174","3p22.2"
"227","ACVR2B-AS1","Approved symbol","ACVR2B-AS1","ACVR2B antisense RNA 1","HGNC:44161","3p22.2"
"228","ACVRL1","Approved symbol","ACVRL1","activin A receptor like type 1","HGNC:175","12q13.13"
"229","ACY3","Approved symbol","ACY3","aminoacylase 3","HGNC:24104","11q13.2"
"230","ACYP1","Approved symbol","ACYP1","acylphosphatase 1","HGNC:179","14q24.3"
"231","ACYP2","Approved symbol","ACYP2","acylphosphatase 2","HGNC:180","2p16.2"
"232","ADA","Approved symbol","ADA","adenosine deaminase","HGNC:186","20q13.12"
"235","ADAD1","Approved symbol","ADAD1","adenosine deaminase domain containing 1","HGNC:30713","4q27"
"236","ADAD2","Approved symbol","ADAD2","adenosine deaminase domain containing 2","HGNC:30714","16q24.1"
"237","ADAL","Approved symbol","ADAL","adenosine deaminase like","HGNC:31853","15q15.3"
"238","ADAM10","Approved symbol","ADAM10","ADAM metallopeptidase domain 10","HGNC:188","15q21.3"
"239","ADAM11","Approved symbol","ADAM11","ADAM metallopeptidase domain 11","HGNC:189","17q21.31"
"240","ADAM12","Approved symbol","ADAM12","ADAM metallopeptidase domain 12","HGNC:190","10q26.2"
"241","ADAM15","Approved symbol","ADAM15","ADAM metallopeptidase domain 15","HGNC:193","1q21.3"
"242","ADAM17","Approved symbol","ADAM17","ADAM metallopeptidase domain 17","HGNC:195","2p25.1"
"243","ADAM18","Approved symbol","ADAM18","ADAM metallopeptidase domain 18","HGNC:196","8p11.22"
"244","ADAM19","Approved symbol","ADAM19","ADAM metallopeptidase domain 19","HGNC:197","5q33.3"
"245","ADAM1A","Approved symbol","ADAM1A","ADAM metallopeptidase domain 1A (pseudogene)","HGNC:187","12q24.12-q24.13"
"246","ADAM2","Approved symbol","ADAM2","ADAM metallopeptidase domain 2","HGNC:198","8p11.22"
"247","ADAM20","Approved symbol","ADAM20","ADAM metallopeptidase domain 20","HGNC:199","14q24.2"
"248","ADAM21","Approved symbol","ADAM21","ADAM metallopeptidase domain 21","HGNC:200","14q24.2"
"249","ADAM22","Approved symbol","ADAM22","ADAM metallopeptidase domain 22","HGNC:201","7q21.12"
"252","ADAM28","Approved symbol","ADAM28","ADAM metallopeptidase domain 28","HGNC:206","8p21.2"
"253","ADAM29","Approved symbol","ADAM29","ADAM metallopeptidase domain 29","HGNC:207","4q34.1"
"254","ADAM30","Approved symbol","ADAM30","ADAM metallopeptidase domain 30","HGNC:208","1p12"
"255","ADAM32","Approved symbol","ADAM32","ADAM metallopeptidase domain 32","HGNC:15479","8p11.22"
"256","ADAM33","Approved symbol","ADAM33","ADAM metallopeptidase domain 33","HGNC:15478","20p13"
"257","ADAM3A","Approved symbol","ADAM3A","ADAM metallopeptidase domain 3A (pseudogene)","HGNC:209","8p11.22"
"258","ADAM5","Approved symbol","ADAM5","ADAM metallopeptidase domain 5 (pseudogene)","HGNC:212","8p11.22"
"259","ADAM6","Approved symbol","ADAM6","ADAM metallopeptidase domain 6 (pseudogene)","HGNC:213","14q32.33"
"260","ADAM7","Approved symbol","ADAM7","ADAM metallopeptidase domain 7","HGNC:214","8p21.2"
"261","ADAM8","Approved symbol","ADAM8","ADAM metallopeptidase domain 8","HGNC:215","10q26.3"
"262","ADAM9","Approved symbol","ADAM9","ADAM metallopeptidase domain 9","HGNC:216","8p11.22"
"263","ADAMDEC1","Approved symbol","ADAMDEC1","ADAM like decysin 1","HGNC:16299","8p21.2"
"264","ADAMTS1","Approved symbol","ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1","HGNC:217","21q21.3"
"265","ADAMTS10","Approved symbol","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10","HGNC:13201","19p13.2"
"266","ADAMTS12","Approved symbol","ADAMTS12","ADAM metallopeptidase with thrombospondin type 1 motif 12","HGNC:14605","5p13.3-p13.2"
"267","ADAMTS13","Approved symbol","ADAMTS13","ADAM metallopeptidase with thrombospondin type 1 motif 13","HGNC:1366","9q34.2"
"268","ADAMTS14","Approved symbol","ADAMTS14","ADAM metallopeptidase with thrombospondin type 1 motif 14","HGNC:14899","10q22.1"
"269","ADAMTS15","Approved symbol","ADAMTS15","ADAM metallopeptidase with thrombospondin type 1 motif 15","HGNC:16305","11q24.3"
"270","ADAMTS16","Approved symbol","ADAMTS16","ADAM metallopeptidase with thrombospondin type 1 motif 16","HGNC:17108","5p15.32"
"271","ADAMTS17","Approved symbol","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17","HGNC:17109","15q26.3"
"272","ADAMTS18","Approved symbol","ADAMTS18","ADAM metallopeptidase with thrombospondin type 1 motif 18","HGNC:17110","16q23.1"
"273","ADAMTS19","Approved symbol","ADAMTS19","ADAM metallopeptidase with thrombospondin type 1 motif 19","HGNC:17111","5q23.3"
